Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
samrat-co,1,15,U/A,25-Apr-14,126,Kaushik Ghatak,Kavita Barjatya,Rajeev Khandelwal,Indraneil Sengupta,Madalasa Sharma,Mystery,Thriller,Drama
race-3,166,185,U/A,14-Jun-18,159,Remo D Souza,Salman Khan,Salman Khan,Anil Kapoor,Bobby Deol,Action,Thriller,Drama
motichoor-chaknachoor,2,19,U/A,15-Nov-19,135,Debamitra Biswal,Rajesh Bhatia,Athiya Shetty,Nawazuddin Siddiqui,Navni Parihar,Comedy,Romance,Drama
ungli,16,39,U/A,27-Nov-14,114,Renzil D'silva,Karan Johar,Emraan Hashmi,Kangana Ranaut,Shraddha Kapoor,Comedy,Drama,Thriller
london-paris-new-york,6,10,U/A,1-Mar-12,100,Anu Menon,Goldie Behl,Candice Pereira,Aditi Rao Hydari,Alina Chan,Romance,NA,NA
dil-toh-baccha-hai-ji,28,29,A,27-Jan-11,146,Madhur Bhandarkar,Kumar Mangat Pathak,Emraan Hashmi,Ajay Devgan,Shruti Haasan,Comedy,Drama,Romance
ek-thi-daayan,26,26,U/A,18-Apr-13,134,Kannan Iyer,Shobha Kapoor,Emraan Hashmi,Kalki Koechlin,Konkona Sen Sharma,Horror,Romance,Thriller
ragini-mms-2,46,19,A,21-Mar-14,119,Bhushan Patel,Ekta Kapoor,Anitha,Annapurna,Sunny Leone,Horror,Drama,Romance
krishna-aur-kans,0.98,12,U,3-Aug-12,117,Vikram Veturi,,Juhi Chawla,Anupam Kher,Harish Bhimani,Animation,Action,Adventure
phir-milenge,2,5,U,13-Aug-04,142,Revathi,George Pius Tharayil,Salman Khan,Abhishek Bachchan,Kamalini Mukherjee,Drama,NA,NA
veere-di-wedding,80,42,A,1-Jun-18,125,Shashanka Ghosh,Anil Kapoor,Sonam Kapoor,Kareena Kapoor Khan,Sukhesh Arora,Comedy,Drama,Romantic comedy
action-jackson-i,57,93,U/A,4-Dec-14,144,Prabhu Dheva,Sunil Lulla,Prabhas,Shahid Kapoor,Ajay Devgan,Action,Comedy,Drama
tees-maar-khan,60,45,U/A,24-Dec-10,137,Farah Khan,Shirish Kunder,Akshay Kumar,Katrina Kaif,Akshaye Khanna,Comedy,Crime,Drama
no-problem-i,28,40,U/A,10-Dec-10,143,Anees Bazmee,Anil Kapoor,Anees Bazmee,Kangana Ranaut,Akshaye Khanna,Action,Comedy,Crime
zed-plus,0.57,5,U/A,28-Nov-14,140,Chandra Prakash Dwivedi,,Chandraprakash Dwivedi,Adil Hussain,Mona Singh,Comedy,Drama,NA
chhota-bheem-himalayan-adventure,3,5,U/A,8-Jan-16,97,Rajiv Chilaka,Rajiv Chilaka,Rusauro B. Adorable,Rusauro B Adorable,Ketan Kava,Animation,Adventure,NA
purani-jeans,1,11,U/A,1-May-14,136,Tanushri Chattrji Bassu,Manju Lulla,Param Baidwaan,Kashika Chopra,Sammy Durrani,Drama,NA,NA
munna-michael,47,41,U/A,21-Jul-17,139,Sabbir Khan,Sunil Lulla,Tiger Shroff,Amit Lekhwani,Anaika Soti,Action,Drama,Musical
gunday,73,51,U/A,14-Feb-14,153,Ali Abbas Zafar,Aditya Chopra,Ranveer Singh,Priyanka Chopra,Irrfan Khan,Action,Drama,Romance
thugs-of-hindostan,138,310,U/A,7-Nov-18,165,Vijay Krishna Acharya,Aditya Chopra,Aamir Khan,Katrina Kaif,Amitabh Bachchan,Action,Adventure,Drama
begum-jaan,20,19,A,14-Apr-17,134,Srijit Mukherji,Mukesh Bhatt,Vidya Balan,Amitabh Bachchan,Naseeruddin Shah,Action,Drama,History
rangoon,20,61,U/A,23-Feb-17,154,Vishal Bhardwaj,Sajid Nadiadwala,Shahid Kapoor,Kangana Ranaut,Saif Ali Khan,Action,Drama,History
we-are-family,21,30,U,3-Sep-10,115,Siddharth Malhotra,Karan Johar,Arjun Rampal,Kajol Devgn,Kareena Kapoor Khan,Drama,Family,NA
bombay-velvet,22,118,U/A,15-May-15,151,Anurag Kashyap,Anurag Kashyap,Anushka Sharma,Ranbir Kapoor,Ranbir Kapoor,Crime,Drama,Thriller
double-dhamaal,45,29,U/A,14-Apr-11,140,Indra Kumar,Indra Kumar,Kangana Ranaut,Sanjay Dutt,Riteish Deshmukh,Comedy,Crime,Drama
bumboo,0.28,2,U/A,30-Mar-12,126,Jagdish Rajpurohit,,Akkash Basnet,Shailesh Hejmady,Mandy Takhar,Comedy,Drama,NA
shaandaar,39,69,U/A,22-Oct-15,145,Vikas Bahl,Anurag Kashyap,Shahid Kapoor,Alia Bhatt,Neel Tyagi,Comedy,Drama,Romance
sikandar,0.58,5,U,20-Aug-09,110,Piyush Jha,Sudhir Mishra,R Madhavan,Ayesha Kapoor,Irfan Choudhary,Crime,Drama,Mystery
student-of-the-year-2,65,65,U/A,9-May-19,146,Punit Malhotra,Karan Johar,Tiger Shroff,Alia Bhatt,Will Smith,Romance,Comedy,Drama
humshakals,52,64,U/A,20-Jun-14,160,Sajid Khan,Vashu Bhagnani,Tamanna Bhatia,Saif Ali Khan,Bipasha Basu,Comedy,NA,NA
hulla,0.11,1,U/A,19-Sep-08,107,Jaideep Varma,Sunil Doshi,Mandeep Mazumdar,Kartika Rane,Dibyendu Bhattacharya,Comedy,Drama,NA
singh-saab-the-great,21,42,U/A,21-Nov-13,150,Anil Sharma,Anuj Sharma,Dharmendra,Bobby Deol,Sunny Deol,Action,Drama,Comedy
indu-sarkar,4,12,U/A,28-Jul-17,139,Madhur Bhandarkar,Bharat S Shah,Anupam Kher,Kirti Kulhari,Neil Nitin Mukesh,Drama,History,Thriller
rascals,33,46,U/A,6-Oct-11,128,David Dhawan,Sanjay Dutt,Arjun Rampal,Kangana Ranaut,Ajay Devgan,Action,Comedy,Crime
dabangg-3,134,178,U/A,20-Dec-19,163,Prabhu Dheva,Salman Khan,Sonakshi Sinha,Salman Khan,Devendra Gaikwad,Action,Romance,Thriller
love-story-2050,11,40,U/A,4-Jul-08,180,Harry Baweja,,Priyanka Chopra,Harman Baweja,Boman Irani,Action,Drama,Romance
chef1,6,31,U/A,6-Oct-17,133,Raja Krishna Menon,Raja Krishna Menon,Jon Favreau,Robert Downey Jr,Saif Ali Khan,Comedy,Drama,Family
yaariyan,38,21,U/A,10-Jan-14,145,Divya Khosla Kumar,Bhushan Kumar,Himansh Kohli,Sayali Bhagat,Rakul Preet Singh,Drama,Romance,NA
jungle,8,4,A,14-Jul-00,152,Ram Gopal Varma,,Sunil Shetty,Fardeen Khan,Swati Chitnis,Action,Adventure,Romance
bewakoofiyaan,13,22,U/A,13-Mar-14,119,Nupur Asthana,Aditya Chopra,Sonam Kapoor,Ayushmann Khurrana,Rishi Kapoor,Comedy,Drama,Romance
ek-ladki-ko-dekha-toh-aisa-laga,19,35,U/A,1-Feb-19,135,Shelly Chopra Dhar,Vidhu Vinod Chopra,Sonam Kapoor,Juhi Chawla,Anil Kapoor,Comedy,Drama,Romance
delhi-in-a-day,0.06,0.75,U,24-Aug-12,88,Prashant Nair,,Siddharth Bharadwaj,Victor Banerjee,Arun Mallick Kumar,Comedy,Drama,NA
commando-3,32,29,U/A,29-Nov-19,134,Aditya Datt,Vipul Amrutlal Shah,Aditya Dhar,Adah Sharma,Gulshan Devaiah,Action,Thriller,Drama
fida,9,10,U/A,20-Aug-04,122,Ken Ghosh,Ramesh Sadhuram Taurani,Shahid Kapoor,Kareena Kapoor Khan,Fardeen Khan,Action,Romance,Thriller
sankat-city,0.82,3,U/A,10-Jul-09,120,Pankaj Advani,,Anupam Kher,Kay Kay Menon,Rimi Sen,Comedy,Crime,Drama
shree,0.12,3,U/A,26-Apr-13,109,Rajesh Bachchani,Vikram Shah,Hussain Kuwajerwala,Raj Arjun,Jitendra Vashishth,Sci-fi,NA,NA
gang,2,5,A,21-Apr-00,174,Mazhar Khan,Bharat S Shah,Nana Patekar,Juhi Chawla,Jackie Shroff,Action,Crime,Drama
panipat,34,92,U/A,6-Dec-19,135,Ashutosh Gowariker,Sunita Gowariker,Kriti Sanon,Arjun Kapoor,Sanjay Dutt,Action,Drama,History
fitoor,16,71,U,11-Feb-16,131,Abhishek Kapoor,Siddharth Roy Kapur,Ajay Devgan,Katrina Kaif,Tabu Hashmi,Drama,Romance,Family
happy-ending,22,57,U/A,20-Nov-14,136,Raj Nidimoru,Saif Ali Khan,Krishna D.k.,Krishna Dk,Ileana D'cruz,Comedy,Romance,NA
the-vanished,3,19,U/A,13-Dec-19,135,Jeetu Joseph,Sunir Kheterpal,Emraan Hashmi,Rishi Kapoor,Sobhita Dhulipala,Comedy,Thriller,Mystery
baabul,17,26,U,8-Dec-06,168,Ravi Chopra,Bharat S Shah,Rani Mukerji,John Abraham,Amitabh Bachchan,Drama,Family,Romance
valentines-night,0.1,1,A,10-Feb-12,116,Baadal,Kirshan Kumar,Kirshan Kumar,Sangram Singh,Manoj Bakshi,Romance,Thriller,NA
baaghi1,76,37,A,7-Apr-00,162,Rajesh Kumar Singh,Ramesh J Sharma,Sanjay Dutt,Manisha Koirala,Raj Babbar,Action,Romance,Crime
chal-chalein,0.04,2,U/A,7-Aug-09,138,Ujjwal Singh,Mahesh Padalkar,Reema Worah,Anand Abhyankar,Mithun Chakraborty,Drama,NA,NA
deewane-huye-paagal1,15,20,U/A,25-Nov-05,168,Vikram Bhatt,Firoz Nadiadwala,Akshay Kumar,Shahid Kapoor,Sunil Shetty,Action,Comedy,Drama
commando-2-the-black-money-trail,34,26,U/A,2-Mar-17,149,Deven Bhojani,Arjun Thyagarajan,Sivakumar Jayakumar,Kajal Aggarwal,Akshara Haasan,Action,Adventure,Crime
baar-baar-dekho,30,53,U/A,9-Sep-16,141,Nitya Mehra,Karan Johar,Sidharth Malhotra,Katrina Kaif,Taaha Shah Badusha,Comedy,Drama,Romance
sunday-i,20,22,U/A,25-Jan-08,135,Rohit Shetty,Kumar Mangat Pathak,Ajay Devgan,Irrfan Khan,Ayesha Takia,Action,Comedy,Mystery
aiyaary,17,57,U/A,15-Feb-18,160,Neeraj Pandey,Dhaval Gada,Sidharth Malhotra,Naseeruddin Shah,Anupam Kher,Action,Crime,Drama
dekh-tamasha-dekh,0.18,2,A,18-Apr-14,151,Feroz Abbas Khan,Feroz Abbas Khan,Apoorva Arora,Alok Rajwade,Satish Alekar,Comedy,Action,NA
tauba-tauba,3,2,A,1-Oct-04,135,Tlv Prasad,,Rocky Sandhu,Aayub Khan,Laxmikant Berde,Comedy,Drama,NA
trump-card,0.05,1,A,12-Mar-10,135,Arshad Khan,Reema Gupta,Sheetal Bedi,Mansi Dovhal,Pankaj,Action,Drama,Mystery
bumm-bumm-bole,0.97,7,U,14-May-10,133,Priyadarshan Nair,Satish Kaushik,Atul Kulkarni,Pooja Bose,Rituparna Sengupta,Action,Drama,Thriller
ab-tak-chhappan-2,6,18,U/A,26-Feb-15,106,Aejaz Gulab,Ram Gopal Varma,Nana Patekar,Gul Panag,Hrishikesh Joshi,Action,Crime,Thriller
dus-kahaniyaan,7,21,U/A,7-Dec-07,110,Apoorva Lakhia,Sanjay Dutt,Sanjay Gupta,Rohit Roy,Hansal Mehta,Adventure,Crime,Drama
heroes,12,18,U/A,24-Oct-08,139,Samir Karnik,Bharat S Shah,Mithun Chakraborty,Salman Khan,Bobby Deol,Action,Adventure,Comedy
one-two-three,17,14,U/A,28-Mar-08,141,Ashwani Dhir,Kumar Mangat Pathak,Ashwani Dheer,Irrfan Khan,Sunil Shetty,Comedy,Drama,Crime
ekkees-toppon-ki-salaami,1,7,U/A,10-Oct-14,140,Ravindra Gautam,Jayantilal Gada,Anupam Kher,Divyendu Sharma,Uttara Baokar,Comedy,Drama,NA
miley-naa-miley-hum1,0.7,13,U/A,4-Nov-11,128,Tanveer Khan,,Kangana Ranaut,Sagarika Ghatge,Chirag Paswan,Comedy,Drama,Romance
ittefaq1,27,29,U/A,14-Sep-01,138,Sanjay Khanna,Ashu Nihalani,Sunil Shetty,Mukul Dev,Pooja Batra,Action,Comedy,Drama
chaalis-chauraasi,2,9,U/A,13-Jan-12,120,Hriday Shetty,,Naseeruddin Shah,Atul Kulkarni,Kay Kay Menon,Comedy,Crime,NA
khelein-hum-jee-jaan-sey,4,39,U/A,3-Dec-10,175,Ashutosh Gowariker,Ajay Bijli,Deepika Padukone,Abhishek Bachchan,Vikramjeet Virk,Action,Drama,History
superstar,2,9,U,8-Feb-08,146,Rohit Jugraj,,Sanjay Dutt,Aushima Sawhney,Kunal Khemu,Drama,Romance,NA
nanu-ki-jaanu,4,15,U/A,20-Apr-18,132,Faraz Haider,Sajid Qureshi,Abhay Deol,Patralekha Paul,Shreya Narayan,Action,Comedy,Drama
naughty-40,1,10,A,29-Apr-11,108,Jag Mundhra,Anuj Sharma,Govinda,Anupam Kher,Yuvika Chaudhry,Comedy,Drama,NA
humko-deewana-kar-gaye,14,17,U,13-Apr-06,160,Raj Kanwar,Bhushan Kumar,Akshay Kumar,Katrina Kaif,Bipasha Basu,Romance,Drama,NA
break-ke-baad,16,22,U,25-Nov-10,118,Danish Aslam,Kunal Kohli,Deepika Padukone,Imran Khan,Sharmila Tagore,Comedy,Drama,Romance
julie-2,2,8,A,24-Nov-17,159,Deepak S. Shivdasani,,Dev Gill,Rati Agnihotri,Raai Laxmi,Drama,Romance,Thriller
ok-jaanu,21,27,U/A,12-Jan-17,137,Shaad Ali,Mani Ratnam,Shraddha Kapoor,Naseeruddin Shah,Aditya Roy Kapoor,Drama,Romance,NA
zubaan,0.38,8,U/A,4-Mar-16,115,Mozez Singh,Guneet Monga,Abhimanyu Garg,Preeti Gupta,Sarah Jane Dias,Drama,Musical,Romance
sheen,0.12,0.75,A,7-May-04,155,Ashoke Pandit,,Ashoke Pandit,Tarun Arora,Raj Babbar,Action,Drama,NA
prassthanam1,5,39,U/A,20-Sep-19,141,Katta Deva,,Amyra Dastur,Satyajeet Dubey,Sanjay Dutt,Action,Drama,NA
happy-husbands,0.38,3,A,25-Mar-11,134,Jaiveer,Suresh Sharma,Jai Veer,Anay,Mohit Ghai,Comedy,Drama,NA
rajdhani-express,0.28,6,U,4-Jan-13,140,Ashok Kohli,Rajesh Patel,Jimmy Shergill,Puja Bose,Nishant Balgovind,Action,Drama,Thriller
laaga-chunari-mein-daag-journey-of-a-woman,17,20,U/A,12-Oct-07,139,Pradeep Sarkar,Aditya Chopra,Rani Mukerji,Abhishek Bachchan,Anupam Kher,Drama,Family,Romance
buddha-mar-gaya,2,3,U,17-Aug-07,93,Rahul Rawail,Sunil Lulla,Anupam Kher,Jitender Bhargava,Heenaa Biswas,Comedy,NA,NA
chaarfutiya-chhokare,0.11,3,U/A,26-Sep-14,119,Manish Harishankar,Sunill Khosla,Harsh Mayar,Seema Biswas,Soha Ali Khan,Drama,Thriller,NA
amaavas,3,2,A,7-Feb-19,135,Sidharth Srinivasan,Sujit Kumar Singh,Nargis Fakhri,Tara Sharma,Raina Sachiin Joshi,Horror,Drama,Romance
behen-hogi-teri,2,13,U/A,9-Jun-17,128,Ajay K Pannanlal,Tony D Souza,Rajkummar Rao,Shruti Haasan,Gautam Gulati,Comedy,Drama,Romantic comedy
allah-ke-banday,0.01,5,A,26-Nov-10,131,Faruk Kabir,Ravi Walia,Naseeruddin Shah,Sharman Joshi,Atul Kulkarni,Action,Crime,Drama
balwinder-singh-famous-ho-gaya,0.42,7,U/A,26-Sep-14,136,Sunil Agnihotri,Mika Singh,Sunil Agnihotri,Anupam Kher,Sunny Leone,Comedy,Musical,NA
kaalo,0.22,4,A,17-Dec-10,79,Wilson Louis,Mamta Patnaik,Raj Arjun,Sheela David,Tripta Parashar,Action,Drama,Horror
mr-white-mr-black,2,11,U/A,2-May-08,130,Deepak S. Shivdasani,,Deepak S Shivdasani,Sunil Shetty,Arshad Warsi,Action,Comedy,Crime
malaal1,3,16,U/A,4-Jul-19,136,Mangesh Hadawale,Sanjay Leela Bhansali,Sameer Dharmadhikari,Sanjay Gurbaxani,Ishwak Singh,Action,Romance,Drama
simran,14,28,U/A,14-Sep-17,125,Hansal Mehta,Bhushan Kumar,Kangana Ranaut,Rupinder Nagra,Aneesha Joshi,Crime,Drama,Romance
out-of-control,4,5,A,21-Nov-03,124,Apurva Asrani,Vashu Bhagnani,Ramanjit Juneja,Riteish Deshmukh,Hrishitaa Bhatt,Comedy,Drama,Romance
bas-ek-pal,0.61,4,U/A,15-Sep-06,150,Onir Dhar,Shailesh R Singh,Juhi Chawla,Jimmy Shergill,Purab Kohli,Drama,Romance,Thriller
love-breakups-zindagi,1,10,U/A,7-Oct-11,156,Sahil Sangha,Dia Mirza,Sahil Sangha,Shah Rukh Khan,Riteish Deshmukh,Comedy,Drama,Romance
rush1,3,18,U/A,25-Oct-12,123,Shamin Desai,Mohammed Fasih,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia,Crime,Thriller,Action
bhoot-returns,4,7,U/A,12-Oct-12,85,Ram Gopal Varma,Nitin Manmohan,Manisha Koirala,J.d. Chakravarthi,Alayana Sharma,Horror,Thriller,Mystery
hawaizaada,3,34,U,29-Jan-15,157,Vibhu Puri,Vibhu Puri,Mithun Chakraborty,Ayushmann Khurrana,Krutika Deo,Biography,Drama,Fantasy
khamoshi2,6,6,U/A,14-Jun-19,135,Chakri Toleti,Vashu Bhagnani,Bhoomika Chawla,Tamanna Bhatia,Sanjay Suri,Horror,Thriller,Crime
veerey-ki-wedding,2,16,U/A,1-Mar-18,130,Ashu Trikha,Rajat Bakshi,Jimmy Shergill,Kriti Kharbanda,Yuvika Chaudhry,Comedy,Romance,Drama
dirty-politics,6,11,A,5-Mar-15,133,K.c. Bokadia,Nihal Farhat,Kc Bokadia,Naseeruddin Shah,Jackie Shroff,Drama,NA,NA
nanhe-jaisalmer,0.42,5,U,14-Sep-07,112,Samir Karnik,,Bobby Deol,Vatsal Seth,Dwij Yadav,Comedy,Drama,Family
darna-zaroori-hai,6,8,A,28-Apr-06,124,Ram Gopal Varma,Ram Gopal Varma,J.d. Chakravarthi,Jd Chakravarthi,Manish Gupta,Horror,Thriller,Drama
money-hai-toh-honey-hai,3,18,U/A,25-Jul-08,137,Ganesh Acharya,Govind Agarwal,Govinda,Manoj Bajpayee,Hansika Motwani,Comedy,Drama,NA
yeh-hai-bakrapur,0.16,5,U,9-May-14,95,Janaki Vishwanathan,Ramesh Sriivatsava Aruunachalam,Anshuman Jha,Amit Sial,Yoshika Verma,Comedy,Drama,NA
baaghi-a-rebel-for-love,5,5,U/A,11-Dec-90,157,Deepak S. Shivdasani,,Salman Khan,Nagma Sadanah,Mohnish Bahl,Action,Romance,NA
kaagaz-ke-fools,0.35,4,U/A,24-Apr-15,104,Anil Kumar Chaudhary,Faisal Kapadia,Mugdha Godse,Raima Sen,Vinay Pathak,Comedy,NA,NA
chehraa,0.42,4,U/A,18-Feb-05,146,Saurabh Shukla,Dilkhush Doshi,Saurabh Shukla,Irrfan Khan,Bipasha Basu,Thriller,NA,NA
click,1,7,A,19-Feb-10,127,Sangeeth Sivan,Sangeeth Sivan,Rehan Khan,Sada,Sneha Ullal,Drama,Horror,Mystery
bullet-raja,32,52,U/A,28-Nov-13,159,Tigmanshu Dhulia,Rahul Mittra,Saif Ali Khan,Sonakshi Sinha,Jimmy Sheirgill,Action,Drama,Crime
qasam-se-qasam-se,0.22,2,U/A,15-Jun-12,132,Ashfaque Makrani,Dharmendra Nath Thakur,Faith,Farhan,Omkar Das Manikpuri,Romance,NA,NA
aisha-i,15,18,U,6-Aug-10,126,Rajshree Ojha,Anil Kapoor,Sonam Kapoor,Abhay Deol,Lisa Haydon,Comedy,Drama,Romance
mujhse-dosti-karoge,12,12,U,8-Aug-02,148,Kunal Kohli,Yash Chopra,Rani Mukerji,Hrithik Roshan,Kareena Kapoor Khan,Musical,Romance,Drama
total-siyappa,13,10,U/A,6-Mar-14,106,Eeshwar Nivas,,Anupam Kher,Yami Gautam,Ali Zafar,Comedy,Drama,Romance
mehbooba1,2,22,U/A,10-Jul-08,162,Afzal Khan,Afzal Khan,Ajay Devgan,Sanjay Dutt,Manisha Koirala,Drama,Romance,Comedy
utt-pataang,0.4,5,U,1-Feb-11,120,Srikanth Velagaleti,Aparna Joshi,Mahie Gill,Mona Singh,Vinay Pathak,Comedy,Drama,NA
yeh-faasley,0.26,6,U/A,4-Mar-11,145,Yogesh Mittal,Omprakash Mittal,Anupam Kher,Seema Biswas,Pavan Malhotra,Crime,Drama,Mystery
hum-tum-shabana,1,12,U/A,30-Sep-11,124,Sagar Ballary,Sameer Chand,Surveen Chawla,Tusshar Kapoor,Shreyas Talpade,Comedy,Crime,Drama
junglee2,22,46,U/A,28-Mar-19,135,Rohan Sippy,Rohan Sippy,Chuck Russell,Raaghav Dar,Atul Kulkarni,Action,Adventure,Thriller
pankh,0.15,5,A,2-Apr-10,98,Sudipto Chattopadhyay,Sanjay Gupta,Bipasha Basu,Ronit Roy,Lillete Dubey,Drama,NA,NA
agyaat,5,8,A,7-Aug-09,130,Ram Gopal Varma,,Nithiin Kumar Reddy,Rasika Dugal,Gautam Rode,Drama,Horror,Mystery
kya-love-story-hai,2,7,A,19-Apr-07,120,Lovely Singh,Nr Pachisia,Kareena Kapoor Khan,Ayesha Takia,Tusshar Kapoor,Comedy,Drama,Romance
popcorn-khao-mast-ho-jao,0.89,2,U/A,1-Oct-04,143,Kabir Sadanand,Rangita Pritish Nandy,Akshay Kapoor,Tanishaa Mukerji,Deepak Tijori,Comedy,Drama,Romance
gang-of-ghosts,1,16,U/A,20-Mar-14,129,Satish Kaushik,Bharat S Shah,Parambrata Chatterjee,Jackie Shroff,Anupam Kher,Comedy,Drama,Horror
hijack,2,9,U/A,5-Sep-08,122,Kunal Shivdasani,Dinesh Vijan,Shiney Ahuja,Ishita Chauhan,Esha Deol,Action,Drama,Thriller
machine,2,30,U/A,16-Mar-17,148,Abbas Alibhai Burmawalla,Dhaval Gada,Mastan Alibhai Burmawalla,Abbas Burmawalla,Mustan Burmawalla,Action,Mystery,Romance
paisa-vasool,0.46,3,A,9-Jan-04,139,Srinivas Bhashyam,Manisha Koirala,Manisha Koirala,Sushmita Sen,Makrand Deshpande,Comedy,NA,NA
kuch-kuch-locha-hai,2,15,A,8-May-15,144,Devang Dholakia,Alpesh D Jain,Navdeep Chhabra,Sunny Leone,Ram Kapoor,Comedy,Drama,NA
the-shaukeens,18,41,U/A,6-Nov-14,125,Abhishek Sharma,Murad Khetani,Akshay Kumar,Kareena Kapoor Khan,Sunil Shetty,Comedy,NA,NA
katti-batti,23,32,U/A,17-Sep-15,138,Nikhil Advani,Nikhil Advani,Kangana Ranaut,Imran Khan,Methalaka Gavin,Comedy,Romance,Drama
o-teri,3,15,U/A,28-Mar-14,107,Umesh Bist,Atul Agnihotri,Umesh Bhisht,Salman Khan,Anupam Kher,Comedy,Drama,NA
gori-tere-pyaar-mein,14,45,U/A,21-Nov-13,148,Punit Malhotra,Karan Johar,Shraddha Kapoor,Imran Khan,Kareena Kapoor Khan,Comedy,Drama,Romance
zinda,10,13,A,12-Jan-06,128,Sanjay Gupta,Sanjay Gupta,John Abraham,Sanjay Dutt,Lara Dutta,Action,Drama,Mystery
muskurake-dekh-zara,0.2,3,U,26-Mar-10,135,P Som Shekar,P Som Shekar,Twinkle Patel,Hiten Paintal,Atul Parchure,Comedy,Horror,Romance
asambhav,3,13,A,23-Jul-04,150,Rajiv Rai,Gulshan Rai,Arjun Rampal,Priyanka Chopra,Naseeruddin Shah,Action,Adventure,Drama
freaky-ali,13,23,U/A,9-Sep-16,120,Sohail Khan,Sohail Khan,Jackie Shroff,Amy Jackson,Seema Biswas,Comedy,Sport,Romantic comedy
lafangey-parindey,22,19,U/A,20-Aug-10,124,Pradeep Sarkar,Aditya Chopra,Deepika Padukone,Juhi Chawla,Vijay Adhav,Action,Drama,Romance
dhan-dhana-dhan-goal,13,19,U/A,23-Nov-07,165,Vivek Agnihotri,Ronnie Screwvala,John Abraham,Bipasha Basu,Arshad Warsi,Drama,Sport,NA
ramayana-the-epic,0.98,7,U,15-Oct-10,98,Chetan Desai,Deepa Sahi,Juhi Chawla,Manoj Bajpayee,Ashutosh Rana,Animation,Adventure,Family
road,7,6,A,27-Sep-02,144,Raj Mukherjee,Ram Gopal Varma,Manoj Bajpayee,Vivek Oberoi,Antara Mali,Thriller,NA,NA
ragini-mms,10,6,A,13-May-11,93,Pawan Kripalani,Shobha Kapoor,Rajkummar Rao,Janice,Shernaza,Drama,Horror,Mystery
nishabd,7,8,U/A,2-Mar-07,110,Ram Gopal Varma,Ram Gopal Varma,Amitabh Bachchan,Revathi,Jiah Khan,Drama,NA,NA
daddy-cool-2009-hindi-film,5,13,A,28-Aug-09,102,K Muralimohana Rao,,Sunil Shetty,Aashish Chaudhary,Aftab Shivdasani,Comedy,Drama,NA
mr-joe-b-carvalho,2,17,U/A,3-Jan-14,130,Samir Tewari,Bholaram Malviya,Soha Ali Khan,Naatak Amaan,Arshad Warsi,Comedy,Mystery,Thriller
dil-juunglee,1,1,U/A,9-Mar-18,124,Aleya Sen,Vashu Bhagnani,Santosh Barmola,Saqib Saleem,Taapsee Pannu,Comedy,Romance,Drama
desi-kattey,1,12,U/A,12-Sep-14,143,Anand Kumar,Anand Kumar,Sunil Shetty,Tia Bajpai,Sasha Aagha,Action,Drama,NA
murder-3,18,15,U/A,14-Feb-13,124,Vishesh Bhatt,Mukesh Bhatt,Randeep Hooda,Sara Loren,Aditi Rao Hydari,Thriller,Drama,Mystery
qaidi-band,0.35,21,U/A,24-Aug-17,119,Habib Faisal,Aditya Chopra,Jitin Gulati,Ram Kapoor,Sachin Dev Burman,Drama,Music,Musical
karam,4,5,A,11-Mar-05,128,Sanjay Gupta,Harry Baweja,Sanjay F. Gupta,Priyanka Chopra,John Abraham,Crime,Drama,Thriller
victory2,1,19,U/A,30-Jan-09,159,Ajit Pal Mangat,Manmohan Shetty,Anupam Kher,Brett Lee,Harman Baweja,Drama,Sport,NA
bhoot-unkle,0.04,2,U,6-Oct-06,105,Mukesh Saigal,Aneesh Dev,Jackie Shroff,Abhishek,Sheela David,Family,Fantasy,Drama
jo-bole-so-nihaal,8,15,U/A,13-May-05,125,Rahul Rawail,,Sunny Deol,Surekha Sikri,Arun Bakshi,Action,Comedy,NA
contract,2,7,A,18-Jul-08,122,Ram Gopal Varma,Praveen Nischol,Sakshi Gulati,Kishore Kadam,Upendra Limaye,Action,Crime,Drama
zokkomon,0.83,10,U,22-Apr-11,109,Satyajit Bhatkal,,Manjari Phadnis,Anupam Kher,Tinnu Anand,Action,Adventure,Drama
helicopter-eela,4,24,U,11-Oct-18,132,Pradeep Sarkar,Ajay Devgan,Amitabh Bachchan,Kajol Devgn,Chirag Malhotra,Drama,NA,NA
poster-boys,11,27,U/A,8-Sep-17,131,Shreyas Talpade,Deepti Talpade,Shreyas Talpade,Ajay Devgan,Bobby Deol,Comedy,Drama,NA
apna-sapna-money-money,14,9,U,10-Nov-06,137,Sangeeth Sivan,Raju Farooqui,Riteish Deshmukh,Jackie Shroff,Sunil Shetty,Comedy,Musical,Romance
rokkk,0.76,5,U/A,5-Mar-10,135,Rajesh Ranshinge,Krishan Choudhary,Tanushree Dutta,Shaad Randhawa,Udita Goswami,Drama,Horror,Mystery
luck-i,21,37,U/A,25-Jul-09,141,Soham Shah,Dhaval Jatania,Imran Khan,Mithun Chakraborty,Sanjay Dutt,Action,Adventure,Drama
teri-meri-kahaani,27,41,U/A,22-Jun-12,117,Kunal Kohli,Sunil Lulla,Shahid Kapoor,Priyanka Chopra,Neha Sharma,Comedy,Drama,Romance
